RK,NAME,TEAM,SALARY
1,"Kobe Bryant, SF",Los Angeles Lakers,"$23,500,000 "
2,"Joe Johnson, SG",Brooklyn Nets,"$23,180,790 "
3,"Carmelo Anthony, PF",New York Knicks,"$22,458,401 "
4,"Dwight Howard, C",Houston Rockets,"$21,436,271 "
5,"Chris Bosh, PF",Miami Heat,"$20,644,400 "
6,"LeBron James, SF",Cleveland Cavaliers,"$20,644,400 "
7,"Chris Paul, PG",LA Clippers,"$20,068,563 "
8,"Deron Williams, PG",Brooklyn Nets,"$19,754,465 "
9,"Rudy Gay, SF",Sacramento Kings,"$19,317,326 "
10,"Kevin Durant, SF",Oklahoma City Thunder,"$18,995,624 "
11,"Derrick Rose, PG",Chicago Bulls,"$18,862,876 "
12,"Blake Griffin, PF",LA Clippers,"$17,674,613 "
13,"Zach Randolph, PF",Memphis Grizzlies,"$16,500,000 "
14,"LaMarcus Aldridge, PF",Portland Trail Blazers,"$16,006,000 "
15,"Paul George, SF",Indiana Pacers,"$15,937,290 "
16,"Marc Gasol, C",Memphis Grizzlies,"$15,829,688 "
17,"Kevin Love, PF",Cleveland Cavaliers,"$15,719,063 "
18,"Russell Westbrook, PG",Oklahoma City Thunder,"$15,719,062 "
19,"Brook Lopez, C",Brooklyn Nets,"$15,719,062 "
20,"David Lee, PF",Golden State Warriors,"$15,012,000 "
21,"Dwyane Wade, SG",Miami Heat,"$15,000,000 "
22,"Eric Gordon, SG",New Orleans Pelicans,"$14,898,938 "
23,"Roy Hibbert, C",Indiana Pacers,"$14,898,938 "
24,"Tyson Chandler, C",Dallas Mavericks,"$14,846,888 "
25,"John Wall, PG",Washington Wizards,"$14,746,000 "
26,"Gordon Hayward, SF",Utah Jazz,"$14,746,000 "
27,"James Harden, PG",Houston Rockets,"$14,728,844 "
28,"Chandler Parsons, SF",Dallas Mavericks,"$14,700,000 "
29,"Al Jefferson, C",Charlotte Hornets,"$13,500,000 "
30,"Eric Bledsoe, PG",Phoenix Suns,"$13,000,000 "
31,"Nene Hilario, C",Washington Wizards,"$13,000,000 "
32,"Andrew Bogut, C",Golden State Warriors,"$12,972,973 "
33,"Derrick Favors, PF",Utah Jazz,"$12,950,000 "
34,"Rajon Rondo, PG",Dallas Mavericks,"$12,909,090 "
35,"Joakim Noah, C",Chicago Bulls,"$12,700,000 "
36,"Tony Parker, PG",San Antonio Spurs,"$12,500,000 "
37,"Serge Ibaka, PF",Oklahoma City Thunder,"$12,350,000 "
38,"Andre Iguodala, SF",Golden State Warriors,"$12,289,544 "
39,"Nikola Pekovic, C",Minnesota Timberwolves,"$12,100,000 "
40,"Kyle Lowry, PG",Toronto Raptors,"$12,000,000 "
41,"Al Horford, PF",Atlanta Hawks,"$12,000,000 "
42,"Nicolas Batum, SG",Portland Trail Blazers,"$11,765,500 "
43,"Ty Lawson, PG",Denver Nuggets,"$11,595,506 "
44,"Andrea Bargnani, C",New York Knicks,"$11,500,000 "
45,"DeAndre Jordan, C",LA Clippers,"$11,440,123 "
46,"Tyreke Evans, SG",New Orleans Pelicans,"$11,265,416 "
47,"JaVale McGee, C",Philadelphia 76ers,"$11,250,000 "
48,"Larry Sanders, PF",Milwaukee Bucks,"$11,000,000 "
49,"Danilo Gallinari, SF",Denver Nuggets,"$10,854,850 "
50,"Stephen Curry, PG",Golden State Warriors,"$10,629,213 "
51,"Marcin Gortat, C",Washington Wizards,"$10,434,782 "
52,"Tim Duncan, C",San Antonio Spurs,"$10,361,446 "
53,"Gerald Wallace, SF",Boston Celtics,"$10,105,855 "
54,"DeMar DeRozan, SG",Toronto Raptors,"$10,100,000 "
55,"Jrue Holiday, PG",New Orleans Pelicans,"$9,904,495 "
56,"Luol Deng, SF",Miami Heat,"$9,714,461 "
57,"Anderson Varejao, C",Cleveland Cavaliers,"$9,704,545 "
58,"Steve Nash, PG",Los Angeles Lakers,"$9,701,000 "
59,"Paul Millsap, PF",Atlanta Hawks,"$9,500,000 "
60,"Thaddeus Young, PF",Brooklyn Nets,"$9,410,869 "
61,"Tiago Splitter, C",San Antonio Spurs,"$9,250,000 "
62,"Jeff Green, SF",Memphis Grizzlies,"$9,200,000 "
63,"Jordan Hill, C",Los Angeles Lakers,"$9,000,000 "
64,"Lance Stephenson, SG",Charlotte Hornets,"$9,000,000 "
65,"Mike Conley, PG",Memphis Grizzlies,"$8,694,216 "
66,"Trevor Ariza, SF",Houston Rockets,"$8,579,089 "
67,"Channing Frye, PF",Orlando Magic,"$8,579,088 "
68,"Marcus Thornton, SG",Phoenix Suns,"$8,575,000 "
69,"Ryan Anderson, PF",New Orleans Pelicans,"$8,491,500 "
70,"Jeremy Lin, PG",Los Angeles Lakers,"$8,374,646 "
71,"Omer Asik, C",New Orleans Pelicans,"$8,374,646 "
72,"Monta Ellis, SG",Dallas Mavericks,"$8,360,000 "
73,"Jeff Teague, PG",Atlanta Hawks,"$8,000,000 "
74,"Taj Gibson, PF",Chicago Bulls,"$8,000,000 "
75,"Brandon Jennings, PG",Detroit Pistons,"$8,000,000 "
76,"George Hill, PG",Indiana Pacers,"$8,000,000 "
77,"O.J. Mayo, SG",Milwaukee Bucks,"$8,000,000 "
78,"Dirk Nowitzki, PF",Dallas Mavericks,"$7,974,482 "
79,"Ersan Ilyasova, PF",Milwaukee Bucks,"$7,900,000 "
80,"Tayshaun Prince, SF",Memphis Grizzlies,"$7,707,865 "
81,"Boris Diaw, C",San Antonio Spurs,"$7,500,000 "
82,"Goran Dragic, PG",Phoenix Suns,"$7,500,000 "
83,"Wesley Matthews, SG",Portland Trail Blazers,"$7,245,640 "
84,"Isaiah Thomas, PG",Phoenix Suns,"$7,238,606 "
85,"Avery Bradley, SG",Boston Celtics,"$7,191,011 "
86,"Pau Gasol, C",Chicago Bulls,"$7,128,000 "
87,"Jose Calderon, PG",New York Knicks,"$7,097,191 "
88,"Kyrie Irving, PG",Cleveland Cavaliers,"$7,070,730 "
89,"Marvin Williams, PF",Charlotte Hornets,"$7,000,000 "
90,"Amir Johnson, PF",Toronto Raptors,"$7,000,000 "
91,"Brandon Bass, PF",Boston Celtics,"$6,900,000 "
92,"Kevin Martin, SG",Minnesota Timberwolves,"$6,792,500 "
93,"JJ Redick, SF",LA Clippers,"$6,792,500 "
94,"Wilson Chandler, SF",Denver Nuggets,"$6,757,913 "
95,"Jason Richardson, SG",Philadelphia 76ers,"$6,601,125 "
96,"JR Smith, SG",New York Knicks,"$6,515,510 "
97,"Carl Landry, PF",Sacramento Kings,"$6,500,000 "
98,"Greivis Vasquez, PG",Toronto Raptors,"$6,400,000 "
99,"Derrick Williams, PF",Sacramento Kings,"$6,331,404 "
100,"Jarrett Jack, PG",Brooklyn Nets,"$6,300,000 "
101,"Kyle Korver, SG",Atlanta Hawks,"$6,253,521 "
102,"Landry Fields, SG",Toronto Raptors,"$6,250,000 "
103,"Robin Lopez, C",Portland Trail Blazers,"$6,124,729 "
104,"Jason Thompson, PF",Sacramento Kings,"$6,037,500 "
105,"Jodie Meeks, SG",Detroit Pistons,"$6,000,000 "
106,"Gerald Henderson, SG",Charlotte Hornets,"$6,000,000 "
107,"Chuck Hayes, PF",Toronto Raptors,"$5,958,750 "
108,"Jason Terry, SG",Houston Rockets,"$5,850,313 "
109,"Patrick Patterson, PF",Toronto Raptors,"$5,831,326 "
110,"PJ Tucker, SF",Phoenix Suns,"$5,700,000 "
111,"Enes Kanter, C",Utah Jazz,"$5,694,674 "
112,"Anthony Davis, PF",New Orleans Pelicans,"$5,607,240 "
113,"Anthony Bennett, PF",Minnesota Timberwolves,"$5,563,920 "
114,"Andrew Wiggins, SF",Minnesota Timberwolves,"$5,510,640 "
115,"Greg Monroe, C",Detroit Pistons,"$5,479,934 "
116,"Jamal Crawford, SG",LA Clippers,"$5,450,000 "
